prefecture,prefecture_en
Αχαϊας,Achaia
Αιτωλοακαρνανίας,Aitoloakarnania
Αρκαδίας,Arcadia
Αργολίδας,Argolida
Άρτας,Arta
Αττικής,Attica
Χαλκιδικής,Chalkidiki
Χανίων,Chania
Χίου,Chios
Κέρκυρας,Corfu
Κορινθίας,Corinthia
Κυκλάδων,Cyclades
Δωδεκανήσου,Dodecanese
Δράμας,Drama
Εύβοιας,Evia
Έβρου,Evros
Ευρυτανίας,Evrytania
Φλώρινας,Florina
Φωκίδας,Fokida
Φθιώτιδας,Fthiotida
Γρεβενών,Grevena
Ηλείας,Ilia
Ημαθίας,Imathia
Ιωαννίνων,Ioannina
Ηρακλείου,Iraklio
Καρδίτσας,Karditsa
Καστοριάς,Kastoria
Καβάλας,Kavala
Κεφαλονιάς,Kefalonia
Κιλκίς,Kilkis
Κοζάνης,Kozani
Λακωνίας,Laconia
Λάρισας,Larissa
Λασιθίου,Lasithi
Λευκάδας,Lefkada
Λέσβου,Lesvos
Μαγνησίας,Magnesia
Μεσσηνίας,Messinia
Πέλλας,Pella
Πιερίας,Pieria
Πρέβεζας,Preveza
Ρεθύμνου,Rethymno
Ροδόπης,Rodopi
Σάμου,Samos
Σερρών,Serres
Θεσπρωτίας,Thesprotia
Θεσσαλονίκης,Thessaloniki
Τρικάλων,Trikala
Βοιωτίας,Boeotia
Ξάνθης,Xanthi
Ζακύνθου,Zakynthos
