geo_name_raw,geo_key_norm,canonical_prefecture_en,label_primary
Achaia,achaia,Achaia,1
Agio oros,agio oros,,1
Aitoloakarnania,aitoloakarnania,Aitoloakarnania,1
Argolida,argolida,Argolida,1
Arkadia,arkadia,Arcadia,1
Arta,arta,Arta,1
Athens,athens,Attica,1
Chalkidiki,chalkidiki,Chalkidiki,1
Chania,chania,Chania,1
Chios,chios,Chios,1
Dodekanisa,dodekanisa,Dodecanese,1
Drama,drama,Drama,1
East Attica,east attica,Attica,0
Euritania,euritania,Evrytania,1
Evia,evia,Evia,1
Evros,evros,Evros,1
Florina,florina,Florina,1
Fokida,fokida,Fokida,1
Fthiotida,fthiotida,Fthiotida,1
Grevena,grevena,Grevena,1
Heraklio,heraklio,Iraklio,1
Ilia,ilia,Ilia,1
Imathia,imathia,Imathia,1
Ioannina,ioannina,Ioannina,1
Karditsa,karditsa,Karditsa,1
Kastoria,kastoria,Kastoria,1
Kavala,kavala,Kavala,1
Kefallonia,kefallonia,Kefalonia,1
Kerkyra,kerkyra,Corfu,1
Kilkis,kilkis,Kilkis,1
Korinthos,korinthos,Corinthia,1
Kozani,kozani,Kozani,1
Kyklades,kyklades,Cyclades,1
Lakonia,lakonia,Laconia,1
Larisa,larisa,Larissa,1
Lasithio,lasithio,Lasithi,1
Lefkada,lefkada,Lefkada,1
Lesvos,lesvos,Lesvos,1
Magnisia,magnisia,Magnesia,1
Mesinia,mesinia,Messinia,1
Peiraias and islands,peiraias and islands,Attica,0
Pella,pella,Pella,1
Pieria,pieria,Pieria,1
Preveza,preveza,Preveza,1
Rethymno,rethymno,Rethymno,1
Rodopi,rodopi,Rodopi,1
Samos,samos,Samos,1
Serres,serres,Serres,1
Thesprotia,thesprotia,Thesprotia,1
Thessaloniki,thessaloniki,Thessaloniki,1
Trikala,trikala,Trikala,1
Viotia,viotia,Boeotia,1
West Attica,west attica,Attica,0
Xanthi,xanthi,Xanthi,1
Zakynthos,zakynthos,Zakynthos,1
