alias,alias_type,prefecture,prefecture_en,notes
Αττικής,nomos,Αττικής,Attica,
Θεσσαλονίκης,nomos,Θεσσαλονίκης,Thessaloniki,
Δωδεκανήσου,nomos,Δωδεκανήσου,Dodecanese,
Έβρου,nomos,Έβρου,Evros,
Ηρακλείου,nomos,Ηρακλείου,Iraklio,
Αχαΐας,nomos,Αχαϊας,Achaia,
Δράμα,nomos,Δράμας,Drama,
Ιωάννινα,nomos,Ιωαννίνων,Ioannina,
Κορινθίας,nomos,Κορινθίας,Corinthia,
Μεσσηνία,nomos,Μεσσηνίας,Messinia,
Σερρών,nomos,Σερρών,Serres,
Αιτωλοακαρνανίας,nomos,Αιτωλοακαρνανίας,Aitoloakarnania,
Ηλείας,nomos,Ηλείας,Ilia,
Καβάλας,nomos,Καβάλας,Kavala,
Κοζάνης,nomos,Κοζάνης,Kozani,
Κυκλάδων,nomos,Κυκλάδων,Cyclades,
Λέσβου,nomos,Λέσβου,Lesvos,
Μαγνησίας,nomos,Μαγνησίας,Magnesia,
Ξάνθης,nomos,Ξάνθης,Xanthi,
Πιερίας,nomos,Πιερίας,Pieria,
Σάμου,nomos,Σάμου,Samos,
Χαλκιδικής,nomos,Χαλκιδικής,Chalkidiki,
Αργολίδας,nomos,Αργολίδας,Argolida,
Αρκαδίας,nomos,Αρκαδίας,Arcadia,
Γρεβενά,nomos,Γρεβενών,Grevena,
Ευβοίας,nomos,Εύβοιας,Evia,
Καρδίτσας,nomos,Καρδίτσας,Karditsa,
Καστοριά,nomos,Καστοριάς,Kastoria,
Κερκύρας,nomos,Κέρκυρας,Corfu,
Πέλλας,nomos,Πέλλας,Pella,
Φθιώτιδας,nomos,Φθιώτιδας,Fthiotida,
Χίου,nomos,Χίου,Chios,
Χανίων,nomos,Χανίων,Chania,
Άρτας,nomos,Άρτας,Arta,
Αχαϊα,nomos,Αχαϊας,Achaia,
Βοιωτίας,nomos,Βοιωτίας,Boeotia,
Κιλκίς,nomos,Κιλκίς,Kilkis,
Λακωνίας,nomos,Λακωνίας,Laconia,
Λαρίσης,nomos,Λάρισας,Larissa,
Λασιθίου,nomos,Λασιθίου,Lasithi,
Ροδόπης,nomos,Ροδόπης,Rodopi,
Τρικάλων,nomos,Τρικάλων,Trikala,
Αχαϊας,nomos,Αχαϊας,Achaia,
Αρκαδία,nomos,Αρκαδίας,Arcadia,
ΘΕΣΣΑΛΟΝΙΚΗΣ,nomos,Θεσσαλονίκης,Thessaloniki,
ΗΡΑΚΛΕΙΟΥ,nomos,Ηρακλείου,Iraklio,
ΑΤΤΙΚΗΣ,nomos,Αττικής,Attica,
ΑΧΑΪΑΣ,nomos,Αχαϊας,Achaia,
ΔΩΔΕΚΑΝΗΣΟΥ,nomos,Δωδεκανήσου,Dodecanese,
ΕΒΡΟΥ,nomos,Έβρου,Evros,
ΕΥΒΟΙΑΣ,nomos,Εύβοιας,Evia,
ΙΩΑΝΝΙΝΩΝ,nomos,Ιωαννίνων,Ioannina,
ΧΑΝΙΩΝ,nomos,Χανίων,Chania,
ΛΑΡΙΣΗΣ,nomos,Λάρισας,Larissa,
ΚΑΒΑΛΑΣ,nomos,Καβάλας,Kavala,
ΜΑΓΝΗΣΙΑΣ,nomos,Μαγνησίας,Magnesia,
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,nomos,Αιτωλοακαρνανίας,Aitoloakarnania,
ΚΟΖΑΝΗΣ,nomos,Κοζάνης,Kozani,
ΚΥΚΛΑΔΩΝ,nomos,Κυκλάδων,Cyclades,
ΚΟΡΙΝΘΙΑΣ,nomos,Κορινθίας,Corinthia,
ΣΕΡΡΕΣ,nomos,Σερρών,Serres,
ΦΘΙΩΤΙΔΑΣ,nomos,Φθιώτιδας,Fthiotida,
ΑΡΓΟΛΙΔΑΣ,nomos,Αργολίδας,Argolida,
ΞΑΝΘΗΣ,nomos,Ξάνθης,Xanthi,
ΚΕΡΚΥΡΑΣ,nomos,Κέρκυρας,Corfu,
ΜΕΣΣΗΝΙΑΣ,nomos,Μεσσηνίας,Messinia,
ΡΕΘΥΜΝΟΥ,nomos,Ρεθύμνου,Rethymno,
ΛΑΚΩΝΙΑΣ,nomos,Λακωνίας,Laconia,
ΛΕΣΒΟΥ,nomos,Λέσβου,Lesvos,
ΠΙΕΡΙΑΣ,nomos,Πιερίας,Pieria,
ΧΙΟΥ,nomos,Χίου,Chios,
ΔΡΑΜΑΣ,nomos,Δράμας,Drama,
ΗΛΕΙΑΣ,nomos,Ηλείας,Ilia,
ΑΡΚΑΔΙΑΣ,nomos,Αρκαδίας,Arcadia,
ΡΟΔΟΠΗΣ,nomos,Ροδόπης,Rodopi,
ΛΑΣΙΘΙΟΥ,nomos,Λασιθίου,Lasithi,
ΤΡΙΚΑΛΩΝ,nomos,Τρικάλων,Trikala,
ΗΜΑΘΙΑΣ,nomos,Ημαθίας,Imathia,
